size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-5 Hit Count,Hit CALNS Avg Count,best_obj_in_5
50,c101,2.927,1.938577886923034,33.76911899818811,684.3333333333334,227.51148303349814,1,0,2.073170731707317
50,c201,2.2625,1.6483516483516485,27.144678525893994,821.3333333333334,353.9158016840617,3,0,1.6483516483516483
50,r101,1.8258,1.4707169857294964,19.44807833664715,925.3333333333334,192.5292501449585,1,0,1.5512820512820513
50,rc101,2.0478,1.141813755325624,44.241930104227755,892.3333333333334,268.63798276583356,1,0,1.1612903225806452
70,c101,3.457,3.4131007278254892,1.2698661317474869,780.6666666666666,1202.5891227722168,1,1,3.5353535353535355
70,c201,2.689,2.991747407371342,-11.258735863567946,878.0,1205.8614894549053,1,2,3.1914893617021276
70,r101,2.765,1.962716695753345,29.015671039662028,873.6666666666666,705.9382085800171,1,0,2.0866666666666664
70,rc101,2.238,2.3287799564270153,-4.056298321135626,993.6666666666666,923.3984955946604,1,3,2.47
100,c101,3.643,4.089923148746678,-12.26799749510508,599.0,2712.866535345713,1,3,4.313725490196078
100,c201,3.725,3.851099538626764,-3.3852225134701754,919.0,3900.50572959582,1,2,4.225352112676056
100,r101,3.3935,3.3708156593934873,0.6684644351410844,620.3333333333334,1407.7196961243947,1,2,3.890909090909091
100,rc101,2.99,3.2605444030641593,-9.048307794787927,1002.3333333333334,2114.1288974285126,1,3,3.5247524752475248
